02,W-Ondrej NG,Wifi,w-ondrej,Internet_88,Numitor.cz_fara,KOCUM,inet4_2G_Susenbekova,voracek,SUO2hub,MERCUSYS_31C2,padys2,sborovna,Internet_,inet4_Mika,DIRECT-6E-HP OfficeJet Pro 8720,WIFIS,WIFISFREE,Nej.cz - Skalka 2.4Ghz,Room,Aux12,3d,Nej.cz - Sezimak,Nej.cz - Pocinkova,Galaxy S10 Lite2b3e,skola_hoste,skola,Stupka2,Offroad,Inet4_Vlaskovi,HUAWEI-B310-ED23
-80.0,-64.0,-94.0,-93.0,-94.0,-93.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-85.0,-67.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-82.0,-64.0,-93.0,-91.0,-91.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-82.0,-60.0,-90.0,,,,-88.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
-82.0,-66.0,,,,,-90.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
-84.0,-65.0,-87.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-73.0,-65.0,-85.0,,,,,-92.0,,,,,,,,,,,,0.0,,,,,,,,,,,
-82.0,-65.0,-93.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-79.0,-78.0,-90.0,-94.0,-93.0,-95.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-77.0,-75.0,-89.0,-91.0,-89.0,-95.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-73.0,-71.0,-89.0,-95.0,,,-91.0,-94.0,,,,,,,,,,,,0.0,,,,,,,,,,,
-84.0,-64.0,-89.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-78.0,-66.0,-89.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
-77.0,-66.0,,,,,-90.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
-83.0,-62.0,,,,,-93.0,,-90.0,,,,,,,,,,,0.0,,,,,,,,,,,
-91.0,-69.0,-94.0,-93.0,-93.0,,-88.0,-92.0,,-97.0,,,,,,,,,,0.0,,,,,,,,,,,
